Cidade;ID Config;Territory ID (IBGE);Municipio ID (DOM/SC)
Abdon Batista;sc_abdon_batista;4200051;226
Abelardo Luz;sc_abelardo_luz;4200101;1
Agrolândia;sc_agrolandia;4200200;32
Agronômica;sc_agronomica;4200309;33
Alfredo Wagner;sc_alfredo_wagner;4200705;140
Alto Bela Vista;sc_alto_bela_vista;4200754;17
Anchieta;sc_anchieta;4200804;77
Angelina;sc_angelina;4200903;141
Anita Garibaldi;sc_anita_garibaldi;4201000;269
Anitápolis;sc_anitapolis;4201109;142
Antônio Carlos;sc_antonio_carlos;4201208;143
Apiúna;sc_apiuna;4201257;161
Arabutã;sc_arabuta;4201273;18
Araquari;sc_araquari;4201307;189
Araranguá;sc_ararangua;4201406;113
Armazém;sc_armazem;4201505;243
Arroio Trinta;sc_arroio_trinta;4201604;60
Arvoredo;sc_arvoredo;4201653;19
Ascurra;sc_ascurra;4201703;162
Atalanta;sc_atalanta;4201802;34
Aurora;sc_aurora;4201901;35
Balneário Arroio do Silva;sc_balneario_arroio_do_silva;4201950;114
Balneário Barra do Sul;sc_balneario_barra_do_sul;4202057;190
Balneário Camboriú;sc_balneario_camboriu;4202008;128
Balneário Gaivota;sc_balneario_gaivota;4202073;115
Balneário Piçarras;sc_balneario_picarras;4212809;137
Balneário Rincão;sc_balneario_rincao;4220000;294
Bandeirante;sc_bandeirante;4202081;95
Barra Bonita;sc_barra_bonita;4202099;96
Barra Velha;sc_barra_velha;4202107;287
Bela Vista do Toldo;sc_bela_vista_do_toldo;4202131;261
Belmonte;sc_belmonte;4202156;97
Benedito Novo;sc_benedito_novo;4202206;163
Biguaçu;sc_biguacu;4202305;144
Blumenau;sc_blumenau;4202404;164
Bocaina do Sul;sc_bocaina_do_sul;4202438;270
Bom Jardim da Serra;sc_bom_jardim_da_serra;4202503;271
Bom Jesus;sc_bom_jesus;4202537;2
Bom Jesus do Oeste;sc_bom_jesus_do_oeste;4202578;78
Bom Retiro;sc_bom_retiro;4202602;272
Bombinhas;sc_bombinhas;4202453;129
Botuverá;sc_botuvera;4202701;165
Braço do Norte;sc_braco_do_norte;4202800;244
Braço do Trombudo;sc_braco_do_trombudo;4202859;36
Brunópolis;sc_brunopolis;4202875;227
Brusque;sc_brusque;4202909;166
Caibi;sc_caibi;4203105;79
Calmon;sc_calmon;4203154;62
Camboriú;sc_camboriu;4203204;130
Campo Alegre;sc_campo_alegre;4203303;191
Campo Belo do Sul;sc_campo_belo_do_sul;4203402;273
Campo Erê;sc_campo_ere;4203501;80
Campos Novos;sc_campos_novos;4203600;228
Canelinha;sc_canelinha;4203709;145
Canoinhas;sc_canoinhas;4203808;262
Capinzal;sc_capinzal;4203907;176
Capivari de Baixo;sc_capivari_de_baixo;4203956;245
Capão Alto;sc_capao_alto;4203253;274
Catanduvas;sc_catanduvas;4204004;177
Caxambu do Sul;sc_caxambu_do_sul;4204103;204
Caçador;sc_cacador;4203006;61
Celso Ramos;sc_celso_ramos;4204152;229
Cerro Negro;sc_cerro_negro;4204178;275
Chapadão do Lageado;sc_chapadao_do_lageado;4204194;37
Chapecó;sc_chapeco;4204202;205
Cocal do Sul;sc_cocal_do_sul;4204251;233
Concórdia;sc_concordia;4204301;20
Cordilheira Alta;sc_cordilheira_alta;4204350;206
Coronel Freitas;sc_coronel_freitas;4204400;207
Coronel Martins;sc_coronel_martins;4204459;3
Correia Pinto;sc_correia_pinto;4204558;276
Corupá;sc_corupa;4204509;288
Criciúma;sc_criciuma;4204608;234
Cunha Porã;sc_cunha_pora;4204707;81
Cunhataí;sc_cunhatai;4204756;82
Curitibanos;sc_curitibanos;4204806;63
Descanso;sc_descanso;4204905;98
Dionísio Cerqueira;sc_dionisio_cerqueira;4205001;99
Dona Emma;sc_dona_emma;4205100;38
Doutor Pedrinho;sc_doutor_pedrinho;4205159;167
Entre Rios;sc_entre_rios;4205175;4
Ermo;sc_ermo;4205191;116
Erval Velho;sc_erval_velho;4205209;178
Faxinal dos Guedes;sc_faxinal_dos_guedes;4205308;5
Flor do Sertão;sc_flor_do_sertao;4205357;83
Florianópolis;sc_florianopolis;4205407;146
Formosa do Sul;sc_formosa_do_sul;4205431;208
Forquilhinha;sc_forquilhinha;4205456;235
Fraiburgo;sc_fraiburgo;4205506;64
Frei Rogério;sc_frei_rogerio;4205555;65
Galvão;sc_galvao;4205605;6
Garopaba;sc_garopaba;4205704;147
Garuva;sc_garuva;4205803;192
Gaspar;sc_gaspar;4205902;168
Governador Celso Ramos;sc_governador_celso_ramos;4206009;148
Gravatal;sc_gravatal;4206207;247
Grão-Pará;sc_grao-para;4206108;246
Guabiruba;sc_guabiruba;4206306;169
Guaraciaba;sc_guaraciaba;4206405;100
Guaramirim;sc_guaramirim;4206504;289
Guarujá do Sul;sc_guaruja_do_sul;4206603;101
Guatambú;sc_guatambu;4206652;209
Herval d'Oeste;sc_herval_doeste;4206702;179
Ibiam;sc_ibiam;4206751;66
Ibicaré;sc_ibicare;4206801;180
Ibirama;sc_ibirama;4206900;39
Ilhota;sc_ilhota;4207106;131
Imaruí;sc_imarui;4207205;248
Imbituba;sc_imbituba;4207304;249
Imbuia;sc_imbuia;4207403;40
Indaial;sc_indaial;4207502;170
Iomerê;sc_iomere;4207577;67
Ipira;sc_ipira;4207601;21
Iporã do Oeste;sc_ipora_do_oeste;4207650;102
Ipuaçu;sc_ipuacu;4207684;7
Ipumirim;sc_ipumirim;4207700;22
Iraceminha;sc_iraceminha;4207759;84
Irani;sc_irani;4207809;23
Irati;sc_irati;4207858;210
Irineópolis;sc_irineopolis;4207908;263
Itaiópolis;sc_itaiopolis;4208104;222
Itajaí;sc_itajai;4208203;132
Itapema;sc_itapema;4208302;133
Itapiranga;sc_itapiranga;4208401;103
Itapoá;sc_itapoa;4208450;197
Ituporanga;sc_ituporanga;4208500;41
Itá;sc_ita;4208005;24
Içara;sc_icara;4207007;236
Jaborá;sc_jabora;4208609;181
Jacinto Machado;sc_jacinto_machado;4208708;117
Jaguaruna;sc_jaguaruna;4208807;250
Jaraguá do Sul;sc_jaragua_do_sul;4208906;290
Jardinópolis;sc_jardinopolis;4208955;211
Joaçaba;sc_joacaba;4209003;182
Joinville;sc_joinville;4209102;193
José Boiteux;sc_jose_boiteux;4209151;42
Jupiá;sc_jupia;4209177;198
Lacerdópolis;sc_lacerdopolis;4209201;183
Lages;sc_lages;4209300;277
Laguna;sc_laguna;4209409;251
Lajeado Grande;sc_lajeado_grande;4209458;8
Laurentino;sc_laurentino;4209508;43
Lauro Müller;sc_lauro_muller;4209607;237
Lebon Régis;sc_lebon_regis;4209706;264
