municipio;estado;url_diario_eletronico
Guajará-Mirim;RO;https://www.diariomunicipal.com.br/arom/pesquisar
Alto Alegre dos Parecis;RO;https://transparencia.altoalegre.ro.gov.br/diario-oficial/
Porto Velho;RO;https://www.diariomunicipal.com.br/arom/pesquisar
Serra de São Bento;RN;
Serra Negra do Norte;RN;
Serrinha;RN;
Severiano Melo;RN;
Taboleiro Grande;RN;
Taipu;RN;
Tangará;RN;
Tenente Ananias;RN;
Tibau do Sul;RN;
Timbaúba dos Batistas;RN;
Touros;RN;
Umarizal;RN;
Upanema;RN;
Várzea;RN;
Rafael Godeiro;RN;
Vera Cruz;RN;
Viçosa;RN;
Vila Flor;RN;
Aguiar;PB;
Alagoa Grande;PB;
Alagoa Nova;PB;
Alagoinha;PB;
Alhandra;PB;
São João do Rio do Peixe;PB;
Araçagi;PB;
Arara;PB;
Araruna;PB;
Areia;PB;
Areial;PB;
Aroeiras;PB;
Serra do Mel;RN;
Baía da Traição;PB;
Bananeiras;PB;
Barra de Santa Rosa;PB;
Barra de São Miguel;PB;
Bayeux;PB;
Belém do Brejo do Cruz;PB;
Boa Ventura;PB;
Bom Sucesso;PB;
Bonito de Santa Fé;PB;
Boqueirão;PB;
Igaracy;PB;
Borborema;PB;
Brejo do Cruz;PB;
Brejo dos Santos;PB;
Caaporã;PB;
Cabaceiras;PB;
Cabedelo;PB;
Cachoeira dos Índios;PB;
Cacimba de Areia;PB;
Cacimba de Dentro;PB;
Caiçara;PB;
Cajazeiras;PB;
Caldas Brandão;PB;
Camalaú;PB;
Campina Grande;PB;
Carrapateira;PB;
Catingueira;PB;
Catolé do Rocha;PB;
Conceição;PB;
Condado;PB;
Conde;PB;
Congo;PB;
Coremas;PB;
Cruz do Espírito Santo;PB;
Cubati;PB;
Cuité;PB;
Cuitegi;PB;
Curral Velho;PB;
Desterro;PB;
Vista Serrana;PB;
Diamante;PB;
Dona Inês;PB;
Duas Estradas;PB;
Emas;PB;
Esperança;PB;
Fagundes;PB;
Frei Martinho;PB;
Guarabira;PB;
Gurinhém;PB;
Gurjão;PB;
Ibiara;PB;
Imaculada;PB;
Ingá;PB;
Itabaiana;PB;
Itaporanga;PB;
Itapororoca;PB;
Itatuba;PB;
Jacaraú;PB;
Jericó;PB;
João Pessoa;PB;
Juarez Távora;PB;
Juazeirinho;PB;
Junco do Seridó;PB;
Juripiranga;PB;
Juru;PB;
Lagoa;PB;
Lagoa de Dentro;PB;
Lagoa Seca;PB;
Lastro;PB;
Livramento;PB;
Lucena;PB;
Mãe d'Água;PB;
Malta;PB;
Mamanguape;PB;
Manaíra;PB;
Mari;PB;
Massaranduba;PB;
Mataraca;PB;
Mogeiro;PB;
Montadas;PB;
Monte Horebe;PB;
Monteiro;PB;
Natuba;PB;
Nazarezinho;PB;
Nova Floresta;PB;
Nova Palmeira;PB;
Olho d'Água;PB;
Olivedos;PB;
Ouro Velho;PB;
Patos;PB;
Paulista;PB;
Pedra Lavrada;PB;
Pedras de Fogo;PB;
Piancó;PB;
Picuí;PB;
Pilar;PB;
Pilõezinhos;PB;
Pirpirituba;PB;
Pitimbu;PB;
Pocinhos;PB;
Pombal;PB;
Prata;PB;
Princesa Isabel;PB;
Puxinanã;PB;
Queimadas;PB;
Quixaba;PB;
Remígio;PB;
Riacho dos Cavalos;PB;
Rio Tinto;PB;
Salgadinho;PB;
Salgado de São Félix;PB;
Santana de Mangueira;PB;
Santana dos Garrotes;PB;
Santa Teresinha;PB;
São João do Cariri;PB;
São João do Tigre;PB;
São José da Lagoa Tapada;PB;
São José de Caiana;PB;
São José de Espinharas;PB;
São José de Piranhas;PB;
São José do Bonfim;PB;
São José do Sabugi;PB;
São José dos Cordeiros;PB;
São Mamede;PB;
São Miguel de Taipu;PB;
São Sebastião de Lagoa de Roça;PB;
São Sebastião do Umbuzeiro;PB;
Sapé;PB;
São Vicente do Seridó;PB;
Serra Branca;PB;
Serra da Raiz;PB;
Serra Grande;PB;
Serra Redonda;PB;
Serraria;PB;
Solânea;PB;
Soledade;PB;
Sousa;PB;
Sumé;PB;
Tacima;PB;
Taperoá;PB;
Tavares;PB;
Teixeira;PB;
Triunfo;PB;
Uiraúna;PB;
Umbuzeiro;PB;
Várzea;PB;
Baixa Grande do Ribeiro;PI;
Canavieira;PI;
Colônia do Gurguéia;PI;
Bonfim do Piauí;PI;
Colônia do Piauí;PI;
Coronel José Dias;PI;
Fartura do Piauí;PI;
Lagoa do Barro do Piauí;PI;
Santa Rosa do Piauí;PI;
São Braz do Piauí;PI;
São Lourenço do Piauí;PI;
Várzea Branca;PI;
Alegrete do Piauí;PI;
Caldeirão Grande do Piauí;PI;
Jacobina do Piauí;PI;
Marcolândia;PI;
Patos do Piauí;PI;
Queimada Nova;PI;
Santana do Piauí;PI;
Brasileira;PI;
São José do Divino;PI;
Bom Princípio do Piauí;PI;
Lagoa do Carro;PE;
Vertente do Lério;PE;
Xexéu;PE;
Jucati;PE;
Dormentes;PE;
Afogados da Ingazeira;PE;
Afrânio;PE;
Agrestina;PE;
Água Preta;PE;
Águas Belas;PE;
Alagoinha;PE;
Aliança;PE;
Altinho;PE;
Amaraji;PE;
Angelim;PE;
Araripina;PE;
Arcoverde;PE;
Barra de Guabiraba;PE;
Barreiros;PE;
Belém de Maria;PE;
Belém do São Francisco;PE;
Belo Jardim;PE;
Betânia;PE;
Bezerros;PE;
Bodocó;PE;
Bom Conselho;PE;
Brejão;PE;
Brejo da Madre de Deus;PE;
Buenos Aires;PE;
Buíque;PE;
Cabo de Santo Agostinho;PE;
Cabrobó;PE;
Caetés;PE;
Calçado;PE;
Calumbi;PE;
Camocim de São Félix;PE;
Camutanga;PE;
Canhotinho;PE;
Capoeiras;PE;
Carnaíba;PE;
Carpina;PE;
Caruaru;PE;
Catende;PE;
Chã de Alegria;PE;
Chã Grande;PE;
Condado;PE;
Correntes;PE;
Cortês;PE;
Cumaru;PE;
Cupira;PE;
Custódia;PE;
Escada;PE;
Exu;PE;
Feira Nova;PE;
Ferreiros;PE;
Flores;PE;
Floresta;PE;
Frei Miguelinho;PE;
Gameleira;PE;
Garanhuns;PE;
Glória do Goitá;PE;
Goiana;PE;
Granito;PE;
Gravatá;PE;
Iati;PE;
Ibimirim;PE;
Ibirajuba;PE;
Igarassu;PE;
Iguaracy;PE;
Inajá;PE;
