cidade,uf,url
São Paulo,SP,https://diariooficial.prefeitura.sp.gov.br/
Guarulhos,SP,https://diariooficial.guarulhos.sp.gov.br/
Campinas,SP,https://campinas.sp.gov.br/diario-oficial
São Bernardo do Campo,SP,https://imprensaoficialmunicipal.com.br/sao_bernardo_do_campo
São José dos Campos,SP,https://diariodomunicipio.sjc.sp.gov.br/
Santo André,SP,https://web.santoandre.sp.gov.br/portal/diario-oficial
Ribeirão Preto,SP,https://cespro.com.br/visualizarDiarioOficial.php?cdMunicipio=9314
Osasco,SP,https://osasco.sp.gov.br/imprensa-oficial/
Sorocaba,SP,https://noticias.sorocaba.sp.gov.br/jornal/
Mauá,SP,https://dom.maua.sp.gov.br/
São José do Rio Preto,SP,https://www.riopreto.sp.gov.br/DiarioOficial/Diario.action
Mogi das Cruzes,SP,https://diario-oficial.mogidascruzes.sp.gov.br/
Santos,SP,https://diariooficial.santos.sp.gov.br/
Diadema,SP,https://diariooficial.diadema.sp.gov.br/
Jundiaí,SP,https://imprensaoficial.jundiai.sp.gov.br/
Piracicaba,SP,https://diariooficial.piracicaba.sp.gov.br/
Carapicuíba,SP,https://diario.carapicuiba.sp.gov.br/
Bauru,SP,https://www2.bauru.sp.gov.br/diariooficial/
Itaquaquecetuba,SP,https://www.itaquaquecetuba.sp.gov.br/diariooficial/
Praia Grande,SP,https://plenussistemas.dioenet.com.br/list/praia-grande
São Vicente,SP,https://www.saovicente.sp.gov.br/acesso-facil/boletim-oficial-do-municipio
Franca,SP,https://www.franca.sp.gov.br/diariooficial
Guarujá,SP,https://www.guaruja.sp.gov.br/edicoes-diario-oficial
Taubaté,SP,https://plenussistemas.dioenet.com.br/list/taubate
Suzano,SP,https://suzano.sp.gov.br/imprensa-oficial/
Taboão da Serra,SP,https://www.ts.sp.gov.br/portal/diario-oficial
Limeira,SP,http://www.limeira.sp.gov.br/jornaloficial
Sumaré,SP,https://www.sumare.sp.gov.br/Diario.Oficial.php?edicao=todas
Barueri,SP,https://portal.barueri.sp.gov.br/diario
Embu das Artes,SP,https://cidadeembudasartes.sp.gov.br/imprensa-oficial-digital/
Indaiatuba,SP,https://www.indaiatuba.sp.gov.br/comunicacao/imprensa-oficial/edicoes/
Cotia,SP,https://leismunicipais.com.br/diario-oficial/sp/cotia
Marília,SP,https://www.marilia.sp.gov.br/portal/diario-oficial
Americana,SP,https://diariooficial.americana.sp.gov.br/
Araraquara,SP,https://araraquara.1dom.com.br/
Jacareí,SP,https://boletinsoficiais.geosiap.net/pmjacarei/public/publicacoes
Itapevi,SP,https://imprensaoficialmunicipal.com.br/itapevi
Hortolândia,SP,https://diariooficial.hortolandia.sp.gov.br/
Rio Claro,SP,https://rioclaro.sp.gov.br/diario-oficial/
Presidente Prudente,SP,https://diario.presidenteprudente.sp.gov.br/
Araçatuba,SP,https://imprensaoficialmunicipal.com.br/aracatuba
Santa Bárbara d'Oeste,SP,https://www.imprensaoficial.com.br/DO/BuscaDO2001Resultado_11_3.aspx?filtropalavraschave=%22PREFEITURA+MUNICIPAL+DE+SANTA+B%C3%81RBARA+D%27OESTE%22&xhi
Atibaia,SP,https://www.prefeituradeatibaia.com.br/imprensa/
Valinhos,SP,https://www.valinhos.sp.gov.br/portal/diario-oficial
Várzea Paulista,SP,https://transparencia.varzeapaulista.sp.gov.br/imprensa-oficial/
Sertãozinho,SP,https://imprensaoficialmunicipal.com.br/sertaozinho
Jaú,SP,https://www.jau.sp.gov.br/diario-oficial
Assis,SP,https://www.gdoe.com.br/assis
Bragança Paulista,SP,https://www.imprensaoficialmunicipal.com.br/bragancapaulista
