cidade,uf,url
São Paulo,SP,https://diariooficial.prefeitura.sp.gov.br/
Guarulhos,SP,https://diariooficial.guarulhos.sp.gov.br/
Campinas,SP,https://campinas.sp.gov.br/diario-oficial
São Bernardo do Campo,SP,https://imprensaoficialmunicipal.com.br/sao_bernardo_do_campo
Santo André,SP,https://web.santoandre.sp.gov.br/portal/diario-oficial
Sorocaba,SP,https://noticias.sorocaba.sp.gov.br/jornal/
Osasco,SP,https://osasco.sp.gov.br/imprensa-oficial/
Ribeirão Preto,SP,https://cespro.com.br/visualizarDiarioOficial.php?cdMunicipio=9314
São José dos Campos,SP,https://diariodomunicipio.sjc.sp.gov.br/
São José do Rio Preto,SP,https://www.riopreto.sp.gov.br/DiarioOficial/Diario.action
Mogi das Cruzes,SP,https://diario-oficial.mogidascruzes.sp.gov.br/
Jundiaí,SP,https://imprensaoficial.jundiai.sp.gov.br/
Piracicaba,SP,https://diariooficial.piracicaba.sp.gov.br/
Santos,SP,https://diariooficial.santos.sp.gov.br/
Mauá,SP,https://dom.maua.sp.gov.br/
Diadema,SP,https://diariooficial.diadema.sp.gov.br/
Carapicuíba,SP,https://diario.carapicuiba.sp.gov.br/
Bauru,SP,https://www2.bauru.sp.gov.br/diariooficial/
Itaquaquecetuba,SP,https://www.itaquaquecetuba.sp.gov.br/diariooficial/
Praia Grande,SP,https://plenussistemas.dioenet.com.br/list/praia-grande
