cidade,uf,url
Adamantina,SP,https://dosp.com.br/
Americana,SP,https://diariooficial.americana.sp.gov.br/
Barrinha,SP,https://dosp.com.br/barrinha
Bebedouro,SP,http://sp.portaldatransparencia.com.br/prefeitura/bebedouro/
Cachoeira Paulista,SP,https://doe.sp.gov.br/municipios/cachoeira-paulista
Fernandópolis,SP,URL não encontrada na varredura
Hortolândia,SP,https://diariooficial.hortolandia.sp.gov.br/
Itu,SP,URL não encontrada na varredura
Juquitiba,SP,https://dosp.com.br/pesquisar.php
Laranjal Paulista,SP,https://www.imprensaoficialmunicipal.com.br/laranjal_paulista
Lençóis Paulista,SP,https://lencois.mentor.metaway.com.br/diario/#/diarios
Lorena,SP,https://www.imprensaoficial.com.br/DO/BuscaDO2001_11_2.aspx
Presidente Prudente,SP,https://diario.presidenteprudente.sp.gov.br/
Santa Bárbara d'Oeste,SP,https://www.imprensaoficial.com.br/DO/BuscaDO2001Resultado_11_3.aspx?filtropalavraschave=%22PREFEITURA+MUNICIPAL+DE+SANTA+B%C3%81RBARA+D%27OESTE%22&xhi
São Miguel Arcanjo,SP,https://www.doe.sp.gov.br/municipios/sao-miguel-arcanjo
