cidade,uf,url
Serra,ES,https://www.serra.es.gov.br/diario-oficial/
Vila Velha,ES,https://www.vilavelha.es.gov.br/diario-oficial/
Cariacica,ES,https://www.cariacica.es.gov.br/diario-oficial/
Vitória,ES,https://www.vitoria.es.gov.br/diariooficial/
Cachoeiro de Itapemirim,ES,https://www.cachoeiro.es.gov.br/diario-oficial/
Linhares,ES,https://www.linhares.es.gov.br/diario-oficial/
Guarapari,ES,https://www.guarapari.es.gov.br/diario-oficial/
São Mateus,ES,https://www.saomateus.es.gov.br/diario-oficial/
Colatina,ES,https://www.colatina.es.gov.br/diario-oficial/
Aracruz,ES,https://www.aracruz.es.gov.br/diario-oficial/
Viana,ES,https://www.viana.es.gov.br/diario-oficial/
Nova Venécia,ES,https://www.novavenecia.es.gov.br/diario-oficial/
Barra de São Francisco,ES,https://www.pmbsf.es.gov.br/diario-oficial/
Marataízes,ES,https://www.marataizes.es.gov.br/diario-oficial/
Santa Maria de Jetibá,ES,https://www.pmsmj.es.gov.br/diario-oficial/
Itapemirim,ES,https://www.itapemirim.es.gov.br/diario-oficial/
Castelo,ES,https://www.castelo.es.gov.br/diario-oficial/
Domingos Martins,ES,https://www.domingosmartins.es.gov.br/diario-oficial/
Afonso Cláudio,ES,https://www.afonsoclaudio.es.gov.br/diario-oficial/
Baixo Guandu,ES,https://www.baixoguandu.es.gov.br/diario-oficial/
Anchieta,ES,https://www.anchieta.es.gov.br/diario-oficial/
Guaçuí,ES,https://www.guacui.es.gov.br/diario-oficial/
Alegre,ES,https://www.alegre.es.gov.br/diario-oficial/
Jaguaré,ES,https://www.jaguare.es.gov.br/diario-oficial/
Iúna,ES,https://www.iuna.es.gov.br/diario-oficial/
Conceição da Barra,ES,https://www.conceicaodabarra.es.gov.br/diario-oficial/
Sooretama,ES,https://www.sooretama.es.gov.br/diario-oficial/
Ibatiba,ES,https://www.ibatiba.es.gov.br/diario-oficial/
