cidade,uf,url
Arcos,MG,https://www.diariomunicipal.com.br/amm-mg/
São Gotardo,MG,https://www.diariomunicipal.com.br/amm-mg/pesquisar
Santa Rita do Sapucaí,MG,http://www.prefeiturasrc.mg.gov.br/diario-oficial-eletronico
Andradas,MG,http://www.andradas.mg.gov.br/diario-oficial-eletronico
Almenara,MG,https://www.almenara.mg.gov.br/diario
Salinas,MG,https://www.salinas.mg.gov.br/portal/diario-oficial
Boa Esperança,MG,https://boaesperanca.mg.gov.br/diariooficial
Capelinha,MG,https://camaracapelinha.mg.gov.br/diario-oficial
Oliveira,MG,https://oliveira.atende.net/diariooficial/
Visconde do Rio Branco,MG,https://www.viscondedoriobranco.mg.gov.br/
Brumadinho,MG,https://novo.brumadinho.mg.gov.br/portal/diario-oficial/
Caeté,MG,https://www.camaradecaete.mg.gov.br/diario-eletronico
Ouro Branco,MG,https://www.ourobranco.mg.gov.br/diario-eletronico
Iturama,MG,https://imprensaoficialmunicipal.com.br/iturama
Mateus Leme,MG,https://mateusleme.mg.gov.br/
Machado,MG,https://www.machado.mg.gov.br/diario-eletronico
Jaíba,MG,URL não encontrada após busca
Matozinhos,MG,https://imprensaoficialmunicipal.com.br/matozinhos
Porteirinha,MG,https://porteirinha.mg.gov.br/diario-oficial-categorias
Sarzedo,MG,https://www.sarzedo.mg.gov.br/diario-eletronico
