"cidade","uf","url","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Rio de Janeiro","RJ","https://doweb.rio.rj.gov.br/","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"São Gonçalo","RJ","https://do.pmsg.rj.gov.br/","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Duque de Caxias","RJ","https://transparencia.duquedecaxias.rj.gov.br/diario_oficial_busca.php","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Nova Iguaçu","RJ","https://doweb.novaiguacu.rj.gov.br/","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Campos dos Goytacazes","RJ","https://www.campos.rj.gov.br/diario-oficial.php","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Belford Roxo","RJ","https://www.belfordr.instartecnologia.com.br/","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Niterói","RJ","https://diariooficial.niteroi.rj.gov.br/","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"São João de Meriti","RJ","https://transparencia.meriti.rj.gov.br/diario_oficial_busca.php","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Petrópolis","RJ","https://www.petropolis.rj.gov.br/pmp/index.php/servicos-cidadao/diario-oficial","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Volta Redonda","RJ","https://www.voltaredonda.rj.gov.br/vrdestaque/index.php","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Macaé","RJ","https://do.macae.rj.gov.br/","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Magé","RJ","https://www.diariomunicipal.com.br/aemerj/","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Itaboraí","RJ","https://site.ib.itaborai.rj.gov.br/diario-oficial/","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cabo Frio","RJ","https://transparencia.cabofrio.rj.gov.br/diariooficial.php","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Maricá","RJ","https://www.marica.rj.gov.br/jom/","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Nova Friburgo","RJ","https://diario.novafriburgo.rj.gov.br/","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Barra Mansa","RJ","https://portaltransparencia.barramansa.rj.gov.br/boletim-oficial/","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Angra dos Reis","RJ","https://portal.angra.rj.gov.br/boletim-oficial.asp?indexsigla=imp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mesquita","RJ","https://transparencia.mesquita.rj.gov.br/diario_oficial_busca.php","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Teresópolis","RJ","https://atos.teresopolis.rj.gov.br/diario/","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Rio das Ostras","RJ","https://www.riodasostras.rj.gov.br/jornal-oficial/","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Nilópolis","RJ","https://nilopolis.rj.gov.br/diario-oficial-extra-online/","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Queimados","RJ","https://transparencia.queimados.rj.gov.br/diario_oficial_busca.php","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Araruama","RJ","https://www.araruama.rj.gov.br/publicacoes/diario-oficial","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Resende","RJ","https://resende.rj.gov.br/blogtransparencia/page/boletim_oficial.asp","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Itaguaí","RJ","https://portal.transparencia.itaguai.rj.gov.br/diario_oficial_busca.php","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"São Pedro da Aldeia","RJ","https://pmspa.aexecutivo.com.br/publicacoes.php","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Itaperuna","RJ","https://www.itaperuna.rj.gov.br/pmi/jornal-oficial-2022","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Japeri","RJ","https://japeri.geosiap.net.br/portal-transparencia/pmjaperi.geosiap.net.br/portal-transparencia/publicacoes?id_publicacao_tipo=7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Barra do Piraí","RJ","https://portal.prebarradopirai.rj.gov.br/page/4edb08b8-3bae-4279-ad18-e8b88e798bda/diario-oficial-eletronico","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Saquarema","RJ","https://dos.saquarema.rj.gov.br/","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Seropédica","RJ","https://portaltransparencia.seropedica.rj.gov.br/boletim_oficial_view","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Três Rios","RJ","https://tresrios.rj.gov.br/bio/","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Valença","RJ","https://www.diariomunicipal.com.br/aemerj/pesquisar?municipio=265","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cachoeiras de Macacu","RJ","https://www.prefeituracachoeiras.com/diariooficial","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Rio Bonito","RJ","https://www.diariomunicipal.com.br/aemerj/pesquisar","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Guapimirim","RJ","https://guapimirim.rj.gov.br/site/diario-oficial/","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Casimiro de Abreu","RJ","https://transparencia.casimirodeabreu.rj.gov.br/jornal.php","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Paraty","RJ","https://www.paraty.rj.gov.br/multimidia/documentos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"São Francisco de Itabapoana","RJ","https://www.pmsfi.rj.gov.br/diariooficial","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Paraíba do Sul","RJ","https://paraibadosul.rj.gov.br/page/3e364d6c-e018-47c3-aa46-db0c771424f6/diario-oficial","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Paracambi","RJ","https://paracambi.rj.gov.br/diario-oficial/","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Santo Antônio de Pádua","RJ","https://www.santoantoniodepadua.rj.gov.br/portal/arquivo/3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Mangaratiba","RJ","https://www.mangaratiba.rj.gov.br/novoportal/publicacoes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Armação dos Búzios","RJ","https://buzios.aexecutivo.com.br/jornal.php","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"São Fidélis","RJ","https://saofidelis.rj.gov.br/diariooficial/","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"São João da Barra","RJ","https://www.sjb.rj.gov.br/site/diarios_oficiais","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bom Jesus do Itabapoana","RJ","https://bomjesus.rj.gov.br/site/diarios_oficiais","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Vassouras","RJ","https://www.diariomunicipal.com.br/aemerj/pesquisar?busca_avancada%5B__paper%5D=1&busca_avancada%5BentidadeUsuaria%5D=41297","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Tanguá","RJ","http://www.rj.diariooficialdosmunicipios.org/prefeitura/tangua","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Arraial do Cabo","RJ","https://www.arraial.rj.gov.br/diariooficial","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Itatiaia","RJ","https://itatiaia.rj.gov.br/boletim-oficial","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Paty do Alferes","RJ","https://patydoalferes.rj.gov.br/diario-oficial/","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Bom Jardim","RJ","https://diario-oficial.online/bomjardim","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Iguaba Grande","RJ","https://transparencia.iguaba.rj.gov.br/boletim-informativo/","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Miracema","RJ","https://miracema.boletimoficialbr.com.br/","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Miguel Pereira","RJ","https://transparencia.miguelpereira.rj.gov.br/diario_oficial_busca.php","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Piraí","RJ","no url","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
