municipio;estado;url_diario_eletronico
Alto Alegre dos Parecis;RO;https://transparencia.altoalegre.ro.gov.br/diario-oficial/
Ji-Paraná;RO;https://www.diariooficialjp.com.br/
Cacoal;RO;https://dioc.cacoal.ro.gov.br/
Vilhena;RO;https://vilhena.xyz/diario-oficial/
Jaru;RO;https://doe.jaru.ro.gov.br/
Costa Marques;RO;https://ro.portaldatransparencia.com.br/prefeitura/costamarques/?pagina=dop
Amajari;RR;https://imprensaoficial.rr.gov.br/
Vitória do Jari;AP;https://www.cmvitoriadojari.ap.gov.br/diario-oficial/
Aguiarnópolis;TO;https://www.aguiarnopolis.to.gov.br/diariooficial/
Bandeirantes do Tocantins;TO;https://www.bandeirantes.to.gov.br/diariooficial/
Barra do Ouro;TO;https://www.barradoouro.to.gov.br/diariooficial/
Chapada de Areia;TO;https://chapadadeareia.to.gov.br/diario-eletronico/
Chapada da Natividade;TO;https://diariooficial.chapadadanatividade.to.gov.br/
Crixás do Tocantins;TO;https://crixas.to.gov.br/diario-eletronico/
Lavandeira;TO;https://lavandeira.to.gov.br/diariooficialeletronico/
Luzinópolis;TO;https://www.luzinopolis.to.gov.br/diariooficial/
Monte Santo do Tocantins;TO;https://montesanto.to.gov.br/diario-oficial/
Oliveira de Fátima;TO;https://oliveiradefatima.to.gov.br/diario-oficial/
Pugmil;TO;https://www.pugmil.to.gov.br/diariooficial
Santa Terezinha do Tocantins;TO;https://www.santaterezinha.to.gov.br/diariooficial
Talismã;TO;https://www.talisma.to.gov.br/diariooficial
Tupirama;TO;https://www.tupirama.to.gov.br/diario-oficial
Água Doce do Maranhão;MA;https://aguadocedomaranhao.ma.gov.br/diario-oficial/
Brasiléia;AC;https://agencia.ac.gov.br/diario-oficial/
Alto Alegre do Maranhão;MA;https://transparencia.altoalegredomaranhao.ma.gov.br/diario-oficial/
Cruzeiro do Sul;AC;https://agencia.ac.gov.br/diario-oficial/
Alto Alegre do Pindaré;MA;https://www.altoalegredopindare.ma.gov.br/diario-oficial/
Mâncio Lima;AC;https://agencia.ac.gov.br/diario-oficial/
Amapá do Maranhão;MA;https://transparencia.amapa.ma.gov.br/diario-oficial/
Apicum-Açu;MA;https://transparencia.apicumacu.ma.gov.br/diario-oficial/
Feijó;AC;https://agencia.ac.gov.br/diario-oficial/
Bacabeira;MA;https://transparencia.bacabeira.ma.gov.br/diario-oficial/
Bacurituba;MA;https://transparencia.bacurituba.ma.gov.br/diario-oficial/
Belágua;MA;https://diario.belagua.ma.gov.br/
Bela Vista do Maranhão;MA;https://transparencia.belavista.ma.gov.br/diario-oficial/
Bernardo do Mearim;MA;https://transparencia.bernardodomearim.ma.gov.br/index.php?class=diario_home&method=onShow
Bom Jesus das Selvas;MA;https://bomjesusdasselvas.ma.gov.br/diario-oficial/
Bom Lugar;MA;https://www.bomlugar.ma.gov.br/diario-oficial/
Brejo de Areia;MA;https://brejodeareia.ma.gov.br/diariooficial/
Buritirana;MA;https://www.buritirana.ma.gov.br/diario-oficial
Cachoeira Grande;MA;https://transparencia.cachoeiragrande.ma.gov.br/diario-oficial/
Rio Branco;AC;https://agencia.ac.gov.br/diario-oficial/
Campestre do Maranhão;MA;https://www.campestredomaranhao.ma.gov.br/diario-oficial
Alcinópolis;MS;https://www.alcinopolis.ms.gov.br/site/diario-oficial-eletronico/
Capinzal do Norte;MA;https://www.cmcapinzaldonorte.ma.gov.br/diario-oficial
Nova Alvorada do Sul;MS;https://ms.portaldatransparencia.com.br/prefeitura/novaalvoradadosul/?pagina=dop
Central do Maranhão;MA;https://transparencia.centraldomaranhao.ma.gov.br/diario-oficial/
Sena Madureira;AC;https://agencia.ac.gov.br/diario-oficial/
Centro do Guilherme;MA;https://cmcentrodoguilherme.ma.gov.br/diario-oficial
Tarauacá;AC;https://agencia.ac.gov.br/diario-oficial/
Centro Novo do Maranhão;MA;https://transparencia.cmcentronovo.ma.gov.br/diario-oficial
Xapuri;AC;https://agencia.ac.gov.br/diario-oficial/
Cidelândia;MA;https://www.cidelandia.ma.gov.br/diario-oficial
Plácido de Castro;AC;https://agencia.ac.gov.br/diario-oficial/
Conceição do Lago-Açu;MA;https://transparencia.conceicaodolagoacu.ma.gov.br/diario/
Senador Guiomard;AC;https://agencia.ac.gov.br/diario-oficial/
Davinópolis;MA;https://www.davinopolis.ma.gov.br/diario-oficial
Manoel Urbano;AC;https://agencia.ac.gov.br/diario-oficial/
Feira Nova do Maranhão;MA;https://transparencia.feiranovadomaranhao.ma.gov.br/diario-oficial/
Assis Brasil;AC;https://agencia.ac.gov.br/diario-oficial/
Fernando Falcão;MA;https://cmfernandofalcao.ma.gov.br/diario-oficial
Novo Horizonte do Sul;MS;https://www.spdo.ms.gov.br/diariodoe/
Formosa da Serra Negra;MA;https://formosadaserranegra.diariomunicipal.net.br/diario
Japorã;MS;https://ms.portaldatransparencia.com.br/prefeitura/japora/?pagina=dop
Governador Edison Lobão;MA;https://www.governadoredisonlobao.ma.gov.br/diario-oficial
Laguna Carapã;MS;https://lagunacarapa.ms.gov.br/publicacoesBuscar?type=1&year=&number=&name=
Governador Luiz Rocha;MA;https://governadorluizrocha.ma.gov.br/transparencia/diarios/
Angico;TO;https://www.angico.to.gov.br/diariooficial/
Governador Newton Bello;MA;https://governadornewtonbello.ma.gov.br/diario-oficial
Aragominas;TO;https://diariooficial.aragominas.to.gov.br/
Governador Nunes Freire;MA;https://transparencia.governadornunesfreire.ma.gov.br/diario/
Araguanã;TO;https://www.araguana.to.gov.br/diariooficial/
Igarapé do Meio;MA;https://transparencia.igarapedomeio.ma.gov.br/diario-oficial/
Cachoeirinha;TO;https://www.cachoeirinha.to.gov.br/diariooficial/
Itaipava do Grajaú;MA;https://transparencia.itaipava.ma.gov.br/diario/
Campos Lindos;TO;https://www.camposlindos.to.gov.br/diariooficial/
Itinga do Maranhão;MA;https://www.cmitinga.ma.gov.br/diariooficial/
Carmolândia;TO;https://carmolandia.diariooficialbr.com.br/
Carrasco Bonito;TO;https://diario.carrascobonito.to.gov.br/
Jenipapo dos Vieiras;MA;https://transparencia.jenipapodosvieiras.ma.gov.br/diario/
Darcinópolis;TO;https://www.darcinopolis.to.gov.br/diariooficial/
Junco do Maranhão;MA;https://transparencia.juncodomaranhao.ma.gov.br/diario/
Lagoa do Mato;MA;https://transparencia.lagoadomato.ma.gov.br/diario/
Maurilândia do Tocantins;TO;https://www.maurilandiadotocantins.to.leg.br/diario-oficial/
Lago dos Rodrigues;MA;https://transparencia.lagodosrodrigues.ma.gov.br/diario/
Palmeiras do Tocantins;TO;https://diariooficial.palmeirasdotocantins.to.gov.br/
Lagoa Grande do Maranhão;MA;https://transparencia.lagoagrandedomaranhao.ma.gov.br/diario/
