UF,id,Cidade,Status,Observações,Falhas
SP,sp_cristais_paulista,Cristais Paulista,True,,
SP,sp_jundia_,Jundiai,True,,
SP,sp_s_o_jos_do_rio_preto,São Jse do Rio Preto,True,,
SP,sp_miguel_polis,Miguelopolis,True,,
SP,sp_mat_o,Matão,True,,
SP,sp_itirapu_,Itirapuã,True,,
SP,sp_divinol_ndia,Divinolandia,True,,
SP,sp_caiabu,Caibu,True,,
SP,sp_nova_odessa,Nova Odessa,True,,
SP,sp_mogi_das_cruzes,Mogi das cruzes,True,,0.0
SP,sp_santa_rita_do_passa_quatro,Sta Rita Passa 4,True,,
SP,sp_s_o_jo_o_da_boa_vista,S JOAO DA BOA VISTA,True,,
SP,sp_avar_,AVARÉ,True,,
SP,sp_joan_polis,Joanopolis,True,,
SP,sp_salto,Salto,True,,
SP,sp_am_rico_de_campos,Americo de campos,True,,
SP,sp_barbosa,Barbosa,True,,
SP,sp_batatais,Batatais,True,,
SP,sp_buri,Buri,True,,
SP,sp_cajamar,Cajamar,True,,
SP,sp_capela_do_alto,Capela do Alto,True,,
SP,sp_cosm_polis,Cosmopolis,True,,
SP,sp_cotia,Cotia,False,captcha challenge error,2.0
SP,sp_fartura,Fartura,True,,
SP,sp_gabriel_monteiro,Gabriel Monteiro,True,,
SP,sp_guarulhos,Guarulhos,True,,
SP,sp_ilha_comprida,Ilha comprida,True,,
SP,sp_iracem_polis,Iracemápolis,True,,
SP,sp_itaquaquecetuba,Itaquaquecetuba,True,,
SP,sp_itarar_,Itararé,True,,
SP,sp_itariri,Itariri,True,,
SP,sp_itatiba,Itatiba,True,,
SP,sp_itobi,Itobi,True,,
SP,sp_jaboticabal,Jaboticabal,True,,
SP,sp_laranja_paulista,Laranja Paulista,True,,
SP,sp_jose_bonifacio,José Bonifácio,True,,
SP,sp_mairipor_,Mariporã,False,,3.0
SP,sp_miracatu,Miracatu,True,,
SP,sp_monte_alegre_do_sul,Monte Alegre do Sul,True,,
SP,sp_monte_apraz_vel,Monte Aprazível,True,,
SP,sp_monte_mor,Monte Mor,True,,
SP,sp_narandiba,Narandiba,True,,
SP,sp_paul_nia,Paulinia,True,,
SP,sp_pederneiras,Pederneiras,True,,
SP,sp_piraju,Piraju,True,,
SP,sp_pirapora_do_bom_jesus,Pirapora do bom jesus,True,,
SP,sp_sao_bernardo_do_campo,S. Bernarno do campo,True,,
SP,sp_santo_andre,Santo André,True,,
SP,sp_sorocaba,Sorocaba,True,,
SP,sp_piracicaba,Piracicaba,True,,
SP,sp_bauru,Bauru,True,,
SP,sp_sao_jose_dos_campos,S José dos Campos,True,,
SP,sp_praia_grande,Praia Grande,True,,
SP,sp_campinas,Campinas,True,,
SP,sp_osasco,Osasco,True,,
SP,sp_santos,Santos,True,,
SP,sp_maua,Maua,True,,
SP,sp_diadema,Diadema,True,,
SP,sp_carapicuiba,Carapicuiba,True,,
SP,sp_taubate,Taubaté,True,,
SP,sp_itapevi,Itapevi,True,,
SP,sp_aracatuba,Araçatuba,True,,
SP,sp_sertaozinho,Sertãozinho,True,,
SP,sp_braganca_paulista,Bragança Paulista,True,,
SP,sp_botucatu,Botucatu,True,,
SP,sp_jandira,Jandira,True,,
SP,sp_birigui,Birigui,True,,
SP,sp_guaratingueta,Guaratinguetá,True,,
SP,sp_jaguariuna,Jaguariuna,True,,
SP,sp_tupa,Tupã,True,,
SP,sp_mogi_guacu,Mogi Guaçu,True,,
SP,sp_itapira,Itapira,True,,
SP,sp_catanduva,Catanduva,True,,
SP,sp_votuporanga,Votuporanga,True,,
SP,sp_lins,Lins,True,,
SP,sp_mirassol,Mirassol,True,,
