cidade,uf,url
São Bernardo do Campo,SP,https://imprensaoficialmunicipal.com.br/sao_bernardo_do_campo
Sorocaba,SP,https://noticias.sorocaba.sp.gov.br/jornal/
Ribeirão Preto,SP,https://cespro.com.br/visualizarDiarioOficial.php?cdMunicipio=9314
São José dos Campos,SP,https://diariodomunicipio.sjc.sp.gov.br/
São José do Rio Preto,SP,https://www.riopreto.sp.gov.br/DiarioOficial/Diario.action
Mogi das Cruzes,SP,https://diario-oficial.mogidascruzes.sp.gov.br/
Carapicuíba,SP,https://diario.carapicuiba.sp.gov.br/
Bauru,SP,https://www2.bauru.sp.gov.br/diariooficial/
Franca,SP,https://www.franca.sp.gov.br/diariooficial
Barueri,SP,https://portal.barueri.sp.gov.br/diario
Suzano,SP,https://suzano.sp.gov.br/imprensa-oficial/
Limeira,SP,http://www.limeira.sp.gov.br/jornaloficial
Guarujá,SP,https://www.guaruja.sp.gov.br/edicoes-diario-oficial
Sumaré,SP,https://www.sumare.sp.gov.br/Diario.Oficial.php?edicao=todas
Cotia,SP,https://leismunicipais.com.br/diario-oficial/sp/cotia
Taboão da Serra,SP,https://www.ts.sp.gov.br/portal/diario-oficial
Indaiatuba,SP,https://www.indaiatuba.sp.gov.br/comunicacao/imprensa-oficial/edicoes/
São Carlos,SP,https://cidadao.saocarlos.sp.gov.br/servicos/jornal/
Embu das Artes,SP,https://cidadeembudasartes.sp.gov.br/imprensa-oficial-digital/
Araraquara,SP,https://araraquara.1dom.com.br/
Jacareí,SP,https://boletinsoficiais.geosiap.net/pmjacarei/public/publicacoes
Marília,SP,https://www.marilia.sp.gov.br/portal/diario-oficial
Americana,SP,https://diariooficial.americana.sp.gov.br/
Hortolândia,SP,https://diariooficial.hortolandia.sp.gov.br/
Presidente Prudente,SP,https://diario.presidenteprudente.sp.gov.br/
Rio Claro,SP,https://rioclaro.sp.gov.br/diario-oficial/
Santa Bárbara d'Oeste,SP,https://www.imprensaoficial.com.br/DO/BuscaDO2001Resultado_11_3.aspx?filtropalavraschave=%22PREFEITURA+MUNICIPAL+DE+SANTA+B%C3%81RBARA+D%27OESTE%22&xhi
Ferraz de Vasconcelos,SP,https://ferrazdevasconcelos.sp.gov.br/web/home/boletins-oficiais/
Itu,SP,URL não encontrada na varredura
São Caetano do Sul,SP,https://diariooficial.saocaetanodosul.sp.gov.br/
Pindamonhangaba,SP,https://pindamonhangaba.1dom.com.br/
Francisco Morato,SP,http://imprensaoficial.franciscomorato.sp.gov.br/
Atibaia,SP,https://www.prefeituradeatibaia.com.br/imprensa/
Itapecerica da Serra,SP,https://www.itapecerica.sp.gov.br/imprensa-oficial
Itapetininga,SP,https://www.itapetininga.sp.gov.br/diario-oficial-eletronico
Santana de Parnaíba,SP,https://prefeitura.santanadeparnaiba.sp.gov.br/PortalComunicacao/imprensa-oficial
Franco da Rocha,SP,https://francodarocha.sp.gov.br/diariooficial
Caraguatatuba,SP,https://diariooficial.caraguatatuba.sp.gov.br/
